description,category
"Starbucks Coffee","Food & Dining"
"Netflix Subscription","Entertainment"
"Gasoline","Transportation"
"Groceries from Walmart","Food & Dining"
"New T-shirt","Shopping"
"Movie tickets","Entertainment"
"Uber ride","Transportation"
"Monthly rent","Housing"
"Electricity bill","Utilities"
"Dinner with friends","Food & Dining"
"Haircut","Personal Care"
"Birthday gift for mom","Gifts & Donations"
"Udemy course","Education"
"Flight to New York","Travel"
"Painkillers","Health"
"Random stuff from Amazon","Shopping"
"Vada pav","Food & Dining"
"Samosa","Food & Dining"
"Masala Dosa","Food & Dining"
"Chole Bhature","Food & Dining"
"Pani Puri","Food & Dining"
"Zomato order","Food & Dining"
"Swiggy delivery","Food & Dining"
"Lunch at office canteen","Food & Dining"
"Dinner at a local restaurant","Food & Dining"
"chai and snacks","Food & Dining"
"BigBazaar groceries","Food & Dining"
"Reliance Fresh purchase","Food & Dining"
"Morning milk and bread","Food & Dining"
"Vegetable shopping from local market","Food & Dining"
"Street food","Food & Dining"
"Biryani from Paradise","Food & Dining"
"Domino's Pizza","Food & Dining"
"McDonald's burger","Food & Dining"
"KFC chicken","Food & Dining"
"Haldiram's snacks","Food & Dining"
"Tiffin service monthly payment","Food & Dining"
"Flipkart order","Shopping"
"Myntra purchase","Shopping"
"Amazon.in shopping","Shopping"
"New Kurta from FabIndia","Shopping"
"Saree from a local shop","Shopping"
"Diwali shopping","Shopping"
"Mobile phone recharge","Shopping"
"Airtel bill payment","Utilities"
"Jio recharge","Utilities"
"Laptop repair","Shopping"
"New headphones from Croma","Shopping"
"Book from Crossword","Shopping"
"Home decor from Home Centre","Shopping"
"Ola ride","Transportation"
"Uber auto","Transportation"
"Local train pass","Transportation"
"Mumbai Metro card recharge","Transportation"
"Bus ticket","Transportation"
"Petrol for scooter","Transportation"
"Parking fees","Transportation"
"Auto rickshaw fare","Transportation"
"Indigo flight to Delhi","Travel"
"Train ticket to Bangalore (IRCTC)","Travel"
"Movie tickets from BookMyShow","Entertainment"
"Cricket match tickets","Entertainment"
"Hotstar subscription","Entertainment"
"Amazon Prime Video subscription","Entertainment"
"Concert pass","Entertainment"
"Bowling with friends","Entertainment"
"Gaming cafe charges","Entertainment"
"Zee5 subscription","Entertainment"
"Monthly rent payment","Housing"
"Society maintenance charges","Housing"
"Home loan EMI","Housing"
"Electricity bill (MSEB, BESCOM, etc.)","Utilities"
"Water bill","Utilities"
"Gas cylinder (LPG)","Utilities"
"Internet bill (ACT Fibernet, Hathaway)","Utilities"
"DTH recharge (Tata Sky, Dish TV)","Utilities"
"Medicine from Apollo Pharmacy","Health"
"Doctor's consultation fee","Health"
"Health insurance premium","Health"
"Gym membership (Cure.fit)","Health"
"Tution fees for kids","Education"
"Byju's subscription","Education"
"Udemy/Coursera course on new skill","Education"
"Haircut at a local salon","Personal Care"
"Shampoo and soap from a supermarket","Personal Care"
"Nykaa cosmetics purchase","Personal Care"
"Spa treatment","Personal Care"
"Gift for a wedding","Gifts & Donations"
"Donation to a temple/charity","Gifts & Donations"
"Birthday gift for a friend","Gifts & Donations"
"Rakhi gift","Gifts & Donations"
"Pooja items","Other"
"Bank charges","Other"
"Miscellaneous expenses","Other"
"Hotel booking for vacation","Travel"
"Flight tickets to Mumbai","Travel"
"Train reservation to Chennai","Travel"
"Bus ticket to Pune","Travel"
"Cab from airport","Travel"
"Hotel stay in Goa","Travel"
"Tourist guide fees","Travel"
"Travel insurance","Travel"
"Visa application fee","Travel"
"Passport renewal","Travel"
"Baggage fees","Travel"
"Resort booking","Travel"
"Backpacking trip expenses","Travel"
"International flight","Travel"
"Domestic flight booking","Travel"
"Travel agent commission","Travel"
"Vacation package","Travel"
"Homestay booking","Travel"
"Car rental for trip","Travel"
"Security deposit","Other"
"Legal consultation","Other"
"Notary charges","Other"
"Document verification","Other"
"Courier charges","Other"
"Postal service","Other"
"Government fees","Other"
"License renewal","Other"
"Registration fees","Other"
"Processing charges","Other"
"Service charges","Other"
"Penalty charges","Other"
"Late payment fee","Other"
"Administrative costs","Other"
"Consultation fee","Other"
"Professional services","Other"
"Emergency fund","Other"
"Miscellaneous purchase","Other"
"Random expenses","Other"
"School fees","Education"
"College tuition","Education"
"Library fine","Education"
"Textbook purchase","Education"
"Online course subscription","Education"
"Coaching classes","Education"
"Workshop fees","Education"
"Certification exam","Education"
"Study materials","Education"
"Laboratory fees","Education"
"Project expenses","Education"
"Educational software","Education"
"Language learning app","Education"
"Skill development course","Education"
"Professional training","Education"
"Seminar registration","Education"
"Conference fees","Education"
"Examination fees","Education"
"Property tax","Housing"
"House insurance","Housing"
"Furniture purchase","Housing"
"Home appliances","Housing"
"Interior decoration","Housing"
"Plumbing services","Housing"
"Electrical work","Housing"
"Pest control","Housing"
"House cleaning service","Housing"
"Garden maintenance","Housing"
"Security system","Housing"
"House repairs","Housing"
"Paint and renovation","Housing"
"Carpentry work","Housing"
"HVAC maintenance","Housing"
"Home improvement","Housing"
"Kitchen equipment","Housing"
"Bedroom furniture","Housing"
"Living room setup","Housing"
"Bathroom renovation","Housing"
"Smartphone purchase","Shopping"
"Electronics from Vijay Sales","Shopping"
"Clothes from Max","Shopping"
"Shoes from Bata","Shopping"
"Watch from Titan","Shopping"
"Jewelry purchase","Shopping"
"Gift wrapping","Shopping"
"Online grocery order","Shopping"
"Stationery items","Shopping"
"Sports equipment","Shopping"
"Toys for kids","Shopping"
"Home accessories","Shopping"
"Eye checkup","Health"
"Dental treatment","Health"
"Blood test","Health"
"X-ray scan","Health"
"Physiotherapy session","Health"
"Mental health counseling","Health"
"Vitamin supplements","Health"
"Prescription glasses","Health"
"Medical equipment","Health"
"Emergency medical","Health"
"Yoga class","Health"
"Meditation app","Health"
"Facial treatment","Personal Care"
"Manicure pedicure","Personal Care"
"Hair coloring","Personal Care"
"Skincare products","Personal Care"
"Perfume purchase","Personal Care"
"Grooming kit","Personal Care"
"Massage therapy","Personal Care"
"Beauty salon","Personal Care"
"Charity donation","Gifts & Donations"
"Festival gifts","Gifts & Donations"
"Wedding present","Gifts & Donations"
"Baby shower gift","Gifts & Donations"
"Anniversary gift","Gifts & Donations"
"Graduation gift","Gifts & Donations"
"Thank you gift","Gifts & Donations"
"Religious donation","Gifts & Donations"
"Concert tickets","Entertainment"
"Theater show","Entertainment"
"Amusement park","Entertainment"
"Gaming subscription","Entertainment"
"Sports event tickets","Entertainment"
"Art exhibition","Entertainment"
"Museum entry","Entertainment"
"Live streaming subscription","Entertainment"
"Music streaming","Entertainment"
"Video games","Entertainment"
"Rickshaw fare","Transportation"
"Metro card top-up","Transportation"
"Taxi ride","Transportation"
"Flight booking fee","Transportation"
"Train platform ticket","Transportation"
"Vehicle maintenance","Transportation"
"Car wash","Transportation"
"Toll charges","Transportation"
"Vehicle registration","Transportation"
"Driving license renewal","Transportation"
"Lunch delivery","Food & Dining"
"Breakfast order","Food & Dining"
"Dinner takeaway","Food & Dining"
"Coffee shop visit","Food & Dining"
"Ice cream parlor","Food & Dining"
"Juice center","Food & Dining"
"Bakery items","Food & Dining"
"Hotel restaurant","Food & Dining"
"Mobile data recharge","Utilities"
"Broadband bill","Utilities"
"Cable TV bill","Utilities"
"Waste management fee","Utilities"
"Water purifier service","Utilities"
"Generator fuel","Utilities"
"Solar panel maintenance","Utilities"
"Electricity meter reading","Utilities"
"Chaat","Food & Dining"
"Bhel puri","Food & Dining"
"Pav bhaji","Food & Dining"
"Dahi puri","Food & Dining"
"Sev puri","Food & Dining"
